"weapon"
""
"MP7"
"Nova"
"MAC-10"
"M249"
"P250"
"PP-Bizon"
"MP5-SD"
"UMP-45"
"Glock-18"
"SCAR-20"
"SG 553"
"Negev"
"Bayonet"
"MAG-7"
"AK-47"
"FAMAS"
"Galil AR"
"XM1014"
"MP9"
"P90"
"M4A1-S"
"Tec-9"
"USP-S"
"M4A4"
"AWP"
"SSG 08"
"AUG"
"G3SG1"
"Karambit"
"P2000"
"CZ75-Auto"
"Survival Knife"
"M9 Bayonet"
"Flip Knife"
"Navaja Knife"
"Desert Eagle"
"Talon Knife"
"Skeleton Knife"
"Five-SeveN"
"Gut Knife"
"Sawed-Off"
"Paracord Knife"
"Falchion Knife"
"Huntsman Knife"
"Dual Berettas"
"Classic Knife"
"Stiletto Knife"
"Nomad Knife"
"Ursus Knife"
"Butterfly Knife"
"Shadow Daggers"
"Bowie Knife"
"R8 Revolver"
